A,θ1,θ2,θ3,θ4,θ5,θ6,θ7,θ8,G,b
q0,1,0,0,0,0,0,0,0,10.94,To
q1,-1,1,0,0,0,0,0,0,10.94,0
q2,0,-1,1,0,0,0,0,0,10.94,0
q3,0,0,-1,1,0,0,0,0,32.43,0
q4,0,0,0,-1,1,0,0,0,32.43,0
q5,0,0,0,0,-1,1,0,0,32.43,0
q6,0,0,0,0,0,-1,1,0,9.4,0
q7,0,0,0,0,0,0,-1,1,9.4,0
q8,0,0,0,0,0,0,0,1,9.4,To
qc1,0,0,1,0,0,0,0,0,0.0,Tsp1
qc2,0,0,0,0,0,1,0,0,0.0,Tsp2
qw1,0,0,1,0,0,0,0,0,1.71,To
qw2,0,0,0,0,0,1,0,0,1.71,To
qp,0,0,-1,0,0,1,0,0,5.96,0
qd,0,0,0,0,0,1,0,0,7.04,To
qv1,0,0,1,0,0,0,0,0,12.5,To
qv2,0,0,0,0,0,1,0,0,12.5,To
C,804000.0,804000.0,0.0,266000.0,266000.0,0.0,691000.0,691000.0,0,0
f,Q1,Q2,0,Q4,Q5,0,Q7,Q8,0,0
y,0,0,1,0,0,1,0,0,0,0
